user_id,username,email,age,gender,country,signup_date,is_premium,gender_encoded,account_age_days
1,johnsonjoshua,donaldgarcia@example.net,58,M,ST,2023-12-01,1,1,961
2,fjohnson,jesseguzman@example.net,65,F,FJ,2026-04-23,1,0,87
3,lrobinson,lisa02@example.net,32,M,NO,2024-12-28,1,1,568
4,eric51,jamesmichael@example.com,61,Other,UY,2024-09-01,1,2,686
5,blairamanda,smiller@example.net,55,F,VN,2025-01-30,1,0,535
6,janetwilliams,kendragalloway@example.org,19,M,BZ,2025-02-28,1,1,506
7,shawn52,michael41@example.net,32,Other,ZW,2024-04-09,1,2,831
8,frankgray,gabriellecameron@example.org,53,M,GT,2023-09-06,0,1,1047
9,richard13,jason76@example.net,32,F,PK,2024-02-25,0,0,875
10,donald88,julie69@example.com,69,M,ML,2024-06-23,1,1,756
11,williamdavis,callahaneric@example.org,62,F,KZ,2025-05-04,0,0,441
12,cruzcaitlin,jrice@example.org,35,M,KZ,2024-01-12,1,1,919
13,kayla51,ryan70@example.net,66,F,WS,2024-08-31,1,0,687
14,williamrodriguez,meagan89@example.org,23,F,DE,2025-02-18,1,0,516
15,amberosborne,georgetracy@example.org,40,F,ML,2024-11-07,0,0,619
16,brianhumphrey,millertodd@example.org,69,M,PS,2025-10-23,0,1,269
17,davidalvarez,josephbrennan@example.com,52,M,GH,2025-11-02,0,1,259
18,jenniferross,samuel87@example.org,23,Other,HU,2024-07-02,0,2,747
19,morganbrianna,briannasmith@example.net,58,Other,ZM,2023-10-18,0,2,1005
20,carlosjohnson,chad34@example.net,54,M,RU,2024-06-15,1,1,764
21,jenniferkhan,esanchez@example.com,20,Other,ET,2023-12-12,1,2,950
22,hopkinsmichael,uowens@example.org,67,F,GQ,2026-04-29,1,0,81
23,brownjessica,wrightjames@example.com,32,M,CU,2025-05-04,0,1,441
24,joshuawright,ramosmichelle@example.net,35,F,BZ,2023-10-05,0,0,1018
25,novaksara,gabrieltucker@example.org,28,F,MZ,2023-10-18,0,0,1005
26,nicholasgalloway,sara74@example.com,31,Other,MC,2025-11-28,0,2,233
27,smoore,tanyariley@example.net,62,Other,BH,2024-11-17,1,2,609
28,williamsthomas,brianromero@example.org,44,Other,BJ,2026-01-28,1,2,172
29,leonardjoe,davidashley@example.net,52,Other,UG,2023-09-18,1,2,1035
30,barnesbrandy,sarah35@example.org,28,F,IN,2025-03-24,0,0,482
31,emilyevans,sarah10@example.com,35,Other,VU,2025-12-09,1,2,222
32,jonesjason,david51@example.org,61,F,MN,2024-10-03,1,0,654
33,samueldaniels,cheryl80@example.net,32,M,TG,2024-10-26,0,1,631
34,mcmillandennis,prestonjulia@example.org,43,F,IR,2024-09-28,1,0,659
35,jenniferharris,william40@example.org,31,Other,ZW,2025-05-07,0,2,438
36,bradley52,evan78@example.net,31,Other,NP,2025-12-06,0,2,225
37,rodriguezsierra,amydavenport@example.net,43,Other,TG,2024-03-05,0,2,866
38,tanderson,rachel05@example.org,27,F,KZ,2024-08-09,1,0,709
39,gomezanita,vdickson@example.org,33,Other,GW,2024-03-27,0,2,844
40,nicolejohnson,kimberly63@example.com,65,Other,DJ,2026-07-12,0,2,7
41,reyesbenjamin,dwalker@example.com,55,F,KP,2024-07-06,0,0,743
42,andrewlee,joshua14@example.com,32,M,BA,2025-09-17,0,1,305
43,ifrazier,sheila14@example.org,23,M,TT,2024-09-03,1,1,684
44,rodriguezryan,samuel81@example.com,27,Other,TR,2024-05-09,1,2,801
45,bradley60,michaeljones@example.net,68,Other,LS,2026-03-13,0,2,128
46,elizabeth14,elizabeth56@example.net,56,M,KE,2025-11-26,0,1,235
47,jamesortega,lbyrd@example.net,42,Other,TN,2024-10-28,0,2,629
48,akelley,justin69@example.net,51,F,TD,2024-11-30,1,0,596
49,rramos,williamleon@example.net,61,Other,DO,2026-05-07,1,2,73
50,campbellelizabeth,clarence34@example.org,61,Other,FJ,2024-03-03,0,2,868
51,williamstracey,gibsonolivia@example.net,67,Other,FI,2026-07-04,0,2,15
52,psnyder,dianasmith@example.org,25,F,NO,2024-06-22,0,0,757
53,lindadominguez,pwilliams@example.org,28,F,PH,2024-02-11,1,0,889
54,jcontreras,stephanie79@example.net,64,Other,SD,2025-05-11,0,2,434
55,vmerritt,wcole@example.org,50,M,DZ,2024-09-21,1,1,666
56,rsims,sjones@example.org,58,F,IR,2024-12-21,1,0,575
57,patricia12,jessebenson@example.net,27,F,GH,2023-10-26,1,0,997
58,irussell,nperry@example.com,52,Other,MW,2026-01-11,1,2,189
59,gateskathy,wwoods@example.com,56,F,GB,2025-03-15,0,0,491
60,vmedina,tracynelson@example.com,19,M,AT,2025-03-14,0,1,492
61,elizabeth62,ncalhoun@example.net,69,F,AR,2025-03-22,1,0,484
62,millerroy,qwhite@example.com,21,M,LR,2024-06-11,1,1,768
63,wmurphy,aramirez@example.com,23,Other,BR,2025-07-18,0,2,366
64,currybrett,jeffrey10@example.org,70,M,HU,2024-05-23,1,1,787
65,howelljohn,kcaldwell@example.org,26,Other,PT,2026-07-09,0,2,10
66,katie29,stricklandfrank@example.com,53,M,CD,2026-01-02,0,1,198
67,hickmanbarbara,tsanders@example.org,51,Other,BO,2026-01-23,0,2,177
68,curtisbarton,hoganashlee@example.org,31,Other,LY,2025-10-23,1,2,269
69,estanley,alexander67@example.org,63,F,NR,2025-01-31,0,0,534
70,bzimmerman,jessicasheppard@example.com,60,Other,VE,2025-11-01,0,2,260
71,umarshall,marcus31@example.com,46,Unknown,PG,2024-07-31,0,3,718
72,qhudson,frogers@example.com,25,M,EG,2025-08-14,1,1,339
73,michaelgreen,nicole48@example.org,22,F,SI,2024-05-10,1,0,800
74,allenrichard,hannahbrewer@example.com,55,Other,PE,2023-08-14,1,2,1070
75,phillipsrichard,kevinperkins@example.com,55,M,TG,2025-10-20,1,1,272
76,ronald85,jacqueline44@example.com,22,Unknown,HT,2024-01-22,1,3,909
77,leslienewton,jamesrodgers@example.com,32,M,RS,2026-01-19,1,1,181
78,tina34,michaelturner@example.net,39,M,SN,2024-01-31,1,1,900
79,brandon08,heidi27@example.org,35,Other,AL,2025-12-26,0,2,205
80,taylor75,tammyking@example.com,31,Other,CI,2023-10-28,1,2,995
81,kvasquez,hernandezlisa@example.com,64,Other,BS,2024-08-07,0,2,711
82,grantrobert,kimberlyjames@example.com,33,F,KG,2026-01-18,0,0,182
83,ntorres,lynchjody@example.org,30,M,YE,2024-06-10,1,1,769
84,donna23,andreamoore@example.com,60,F,PG,2026-06-23,0,0,26
85,ocarter,jasmine71@example.net,45,F,HT,2024-09-01,0,0,686
86,ronaldstephens,rebekahserrano@example.org,64,M,BH,2024-04-01,1,1,839
87,brooke94,smartinez@example.com,21,F,ME,2025-04-04,0,0,471
88,vincent77,georgepamela@example.net,69,M,LI,2026-02-10,1,1,159
89,anthony39,keyemily@example.com,30,M,TR,2023-09-19,0,1,1034
90,thomaspearson,howard96@example.net,26,F,RW,2023-12-07,1,0,955
91,vbailey,elizabeth25@example.com,35,F,MD,2025-08-26,1,0,327
92,elaine68,gibsonleonard@example.com,22,F,CI,2025-04-06,1,0,469
93,sandovalamy,hbrown@example.com,21,Other,VU,2025-08-31,1,2,322
94,nwolf,andrea47@example.net,23,M,RU,2024-01-23,1,1,908
95,dudleychelsea,jennifercollins@example.org,44,F,TG,2025-04-12,0,0,463
96,walkermaureen,murraydavid@example.org,31,F,SB,2024-10-14,1,0,643
97,robert77,stephenthomas@example.org,28,F,US,2025-09-15,1,0,307
98,michellehill,ymorgan@example.net,42,F,IQ,2023-07-22,0,0,1093
99,jessica99,cgrimes@example.net,36,F,RO,2025-01-05,0,0,560
100,andrea86,mcantu@example.net,27,M,GY,2025-12-23,0,1,208
101,xhall,vwilliams@example.com,31,M,MA,2025-03-02,1,1,504
102,ymcneil,tylerjohnson@example.net,65,F,UA,2024-12-15,1,0,581
103,sawyerscott,jsmith@example.com,21,Other,TD,2024-03-14,0,2,857
104,harrisontanya,cindy61@example.com,50,Other,GQ,2025-10-24,1,2,268
105,ofinley,cbrennan@example.net,21,Other,BJ,2024-07-17,1,2,732
106,wendy16,hodgesjane@example.org,29,M,PA,2024-04-02,1,1,838
107,rebecca05,carternicholas@example.org,61,M,HN,2025-10-21,0,1,271
108,yknight,georgemiller@example.com,25,Other,VN,2026-06-14,1,2,35
109,tyleraguilar,stevenking@example.com,55,Other,TL,2023-08-02,1,2,1082
110,rsantana,charleslandry@example.net,57,M,KG,2026-04-06,0,1,104
111,dvaughn,james67@example.org,60,Other,GW,2025-03-02,0,2,504
112,bailey40,khill@example.net,34,M,CH,2023-10-03,0,1,1020
113,swall,catherinegomez@example.net,33,F,ET,2026-03-09,0,0,132
114,erica21,parkerscott@example.net,26,Other,MM,2024-02-08,0,2,892
115,browningmark,ithompson@example.net,47,F,MM,2025-10-20,1,0,272
116,maria47,julie51@example.com,18,F,BO,2024-02-22,1,0,878
117,michelleramsey,zcoffey@example.net,44,Other,MM,2023-12-06,1,2,956
118,ismith,gibsonemily@example.net,50,F,IN,2026-01-12,1,0,188
119,xcarson,leonardthomas@example.net,40,M,TJ,2024-12-09,1,1,587
120,deborahreid,tblankenship@example.net,41,F,NE,2024-01-16,1,0,915
121,brandonjohnson,pwilson@example.net,46,Other,CR,2025-03-13,0,2,493
122,vwatson,umatthews@example.org,57,Other,NI,2026-05-01,1,2,79
123,basschristina,antonio53@example.com,60,Other,PA,2024-07-19,0,2,730
124,cory58,bruce43@example.org,60,M,PH,2023-12-08,1,1,954
125,darleneharper,williamsmatthew@example.org,34,M,TM,2024-06-01,1,1,778
